filename, language, JSON, JavaScript, TypeScript, HTML, SCSS, comment, blank, total
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\home\home.page.spec.ts, TypeScript, 0, 0, 16, 0, 0, 0, 6, 22
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\home\home.page.ts, TypeScript, 0, 0, 19, 0, 0, 1, 7, 27
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\list\list.module.ts, TypeScript, 0, 0, 21, 0, 0, 0, 3, 24
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\list\list.page.html, HTML, 0, 0, 0, 21, 0, 5, 2, 28
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\list\list.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 2, 2
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\list\list.page.spec.ts, TypeScript, 0, 0, 25, 0, 0, 0, 8, 33
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\list\list.page.ts, TypeScript, 0, 0, 33, 0, 0, 4, 3, 40
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\map-info\map-info.module.ts, TypeScript, 0, 0, 24, 0, 0, 0, 5, 29
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\map-info\map-info.page.html, HTML, 0, 0, 0, 66, 0, 1, 7, 74
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\map-info\map-info.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\map-info\map-info.page.spec.ts, TypeScript, 0, 0, 19, 0, 0, 0, 6, 25
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\map-info\map-info.page.ts, TypeScript, 0, 0, 55, 0, 0, 1, 15, 71
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\model\Session.ts, TypeScript, 0, 0, 6, 0, 0, 0, 0, 6
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\model\Tune.ts, TypeScript, 0, 0, 5, 0, 0, 0, 1, 6
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\model\TuneDetail.ts, TypeScript, 0, 0, 5, 0, 0, 0, 0, 5
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\news\news.module.ts, TypeScript, 0, 0, 22, 0, 0, 0, 5, 27
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\news\news.page.html, HTML, 0, 0, 0, 25, 0, 2, 2, 29
